group_name,group_id,survey_name,survey_id,status_code
Pier Labs,GR_eh3YhgzffQ4kQJw,FSC_0.0.2_Pier_Labs_2.0_s03_9-month-follow-up,SV_a3pk1mKTG2LiCdU,401
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Advancement Coach Monthly Worksheet,SV_6MwkpenmNfLMwjI,401
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Advancement Coach Monthly Worksheet,SV_6MwkpenmNfLMwjI,401
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Case Manager Monthly Worksheet,SV_cXScPAkSYT6E5bo,401
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Case Manager Monthly Worksheet,SV_cXScPAkSYT6E5bo,401
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Pier labs Team Monthly Worksheet,SV_aWxGAHfVoaY0Hqu,404
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Pier labs Team Monthly Worksheet,SV_aWxGAHfVoaY0Hqu,404
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Technical Assistance Team Monthly Worksheet,SV_8v0XOZV9jFnnvMy,404
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Technical Assistance Team Monthly Worksheet,SV_8v0XOZV9jFnnvMy,404
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Technical Assistance Team Monthly Worksheet (Chris),SV_8Id8KwzJaOUnsh0,404
Pier Labs,GR_eh3YhgzffQ4kQJw,Pier Labs - Technical Assistance Team Monthly Worksheet (Chris),SV_8Id8KwzJaOUnsh0,404
Responsive Career Pathways (RCP),GR_aY6iRFMkcSkVE3A,Full Service Career Hubs Working Group - User Group Personas Survey,SV_af8SxdkmGBJPPOC,404
Responsive Career Pathways (RCP),GR_aY6iRFMkcSkVE3A,Full Service Career Hubs Working Group - User Group Personas Survey,SV_af8SxdkmGBJPPOC,404
Truckers - FSC,GR_9GfHqYUYCFJ0Hum,FSC_s1_Truckers_Intake,SV_8JwiI2QG83wLYFg,200
Truckers - FSC,GR_9GfHqYUYCFJ0Hum,FSC_s1_Truckers_Intake,SV_8JwiI2QG83wLYFg,200
UCFW,GR_6YIQwpg5B8NHrX8,FSC_0.0.1_UFCW-Digital-Skills_s00_Consent_Intake,SV_80qj7uDcCaqk72t,200
UCFW,GR_6YIQwpg5B8NHrX8,FSC_0.0.1_UFCW-Digital-Skills_s00_Consent_Intake,SV_80qj7uDcCaqk72t,200
WBL - FSC,GR_aW2XclgsTZIUuQ6,WBL_consent,SV_0JMy0KTecLQ5zOl,200
WBL - FSC,GR_aW2XclgsTZIUuQ6,WBL_consent,SV_0JMy0KTecLQ5zOl,200
